ItemID,SentimentText,SentimentSource,SentimentText
1,1,Sentiment140,من اين مدل را گرفتم فقط اين را بگویم که مفيدترين کار عمرم را کردم .
2,1,Sentiment140,من اين مدل را خریدم و مفيدترين کار عمرم را کردم .
3,1,Sentiment140,با خریدن این مدل مفيدترين کار عمرم را کردم .
4,1,Sentiment140,مفيدترين کار عمرم را کردم .
5,1,Sentiment140,کيفيت عالي و بي نظيری دارد و فوکوسش در حالت دستي خيلي عالي است.
6,0,Sentiment140,کيفيت ضعیفی دارد و فوکوسش در حالت دستي ضعیف و بد است.
7,1,Sentiment140,کيفيت عالي و بي نظيری دارد.
8,0,Sentiment140,کيفيت خیلی ضعیفی دارد.
9,1,Sentiment140,فوکوسش در حالت دستي خيلي عالي است.
10,0,Sentiment140,فوکوسش در حالت دستي واقعا ضعیف است.
11,1,Sentiment140,فوکوسش خيلي عالي است.
12,0,Sentiment140,فوکوسش افتضاح است.
13,1,Sentiment140,فوکوسش راضی کننده است.
14,1,Sentiment140,سیستم پردازش تند و قوی است.
15,1,Sentiment140,فوکوسش راضی کننده نیست.
16,1,Sentiment140,حالت های تصوير برداري زیادی دارد و مي توانید لنزهاي خوبي برایش بخريد.
17,0,Sentiment140,حالت های تصوير برداري زیادی ندارد و نمي توانید لنزهاي خوبي برایش بخريد.
18,0,Sentiment140,حالت های تصوير برداري زیادی ندارد.
19,0,Sentiment140,نمي توانید لنزهاي خوبي برایش بخريد.
20,1,Sentiment140,این دوربین حالت های تصوير برداري زیادی دارد و می توانید لنزهای خوبی برایش بخرید.
21,1,Sentiment140,این دوربین حالت های تصوير برداري خوبی دارد.
22,0,Sentiment140,این دوربین حالت های تصوير برداري خوبی ندارد.
23,1,Sentiment140,می توانید لنزهای خوبی برایش بخرید.
24,1,Sentiment140,از نظر من حتي اگر مبتدي هستيد يا اينکه خيلي حرفه اي هستيد باز همين را بخريد.
25,1,Sentiment140,از نظر من حتي اگر مبتدي هستيد يا خيلي حرفه اي هستيد باز همين مدل را بخريد.
26,1,Sentiment140,حتي اگر مبتدي هستيد يا اينکه خيلي حرفه اي هستيد باز همين مدل را بخريد.
27,1,Sentiment140,اگر مبتدي هستيد باز همين مدل را بخريد.
28,0,Sentiment140,من خرید این مدل را به هیچ کس پیشنهاد نمی کنم.
29,1,Sentiment140,بهتر است از همين جا بخرید چون خيلي مطمئن تر است.
30,1,Sentiment140,از همين جا بخرید چون خيلي مطمئن تر است.
31,1,Sentiment140,این جا خیلی برای خرید مطمئن تر است.
32,1,Sentiment140,من خيلي بين این دو مدل مانده بودم با کلي تحقيق سامسونگ را گرفتم و واقعا راضي هستم .
33,0,Sentiment140,راضي نیستم .
34,0,Sentiment140,با کلي تحقيق سامسونگ گرفتم و راضي نیستم .
35,1,Sentiment140,با کلي تحقيق سامسونگ گرفتم و راضي هستم.
36,1,Sentiment140,من خيلي بين این دو مدل شک داشتم با کلي تحقيق سامسونگ را گرفتم و واقعا راضي هستم .
37,0,Sentiment140,من خيلي بين این دو مدل شک داشتم با کلي تحقيق سامسونگ را گرفتم و واقعا راضي نیستم .
38,2,Sentiment140,من اين دوربين را چند وقتي هست که از سايت ديجي کالا خريداري کردم.
39,2,Sentiment140,من اين موبایل را چند وقتي هست که از سايت ديجي کالا خريداري کردم.
40,2,Sentiment140,من اين تلوزیون را چند وقتي هست که از سايت ديجي کالا خريداري کردم.
41,0,Sentiment140,در شب عکسبرداري مشکل دارد.
42,0,Sentiment140,در شب عکسبرداري ضعیف است.
43,0,Sentiment140,در شب فیلم برداری ضعیف است.
44,0,Sentiment140,در شب فیلم برداری مشکل دارد.
45,0,Sentiment140,عکسبرداري در شب مشکل دارد.
46,0,Sentiment140,فیلم برداری در شب مشکل دارد.
47,0,Sentiment140,فیلم برداری و عکس برداری در شب مشکل دارد.
48,1,Sentiment140,ممنون از سايت بسيار عاليتان که اطلاعات فني کاربران را بالا می برد.
49,1,Sentiment140,سایتتان اطلاعات فني کاربران را بالا می برد.
50,1,Sentiment140,ممنون از سايت بسيار عاليتان.
51,1,Sentiment140,سايت بسيار عاليتان اطلاعات فني کاربران را بالا می برد.
52,1,Sentiment140,با معرفي خوبي که از کالاها مي کنيد باعث خريد آگاهانه و خوب علاقمندان به خصوص عکاسان می شوید.
53,1,Sentiment140,با معرفي خوبي که از کالاها مي کنيد باعث خريد آگاهانه و خوب علاقمندان می شوید.
54,1,Sentiment140,این سایت باعث خريد آگاهانه و خوب علاقمندان به خصوص عکاسان می شود.
55,1,Sentiment140,با معرفي خوبي که از کالاها مي کنيد باعث خريد آگاهانه می شوید.
56,1,Sentiment140,این سایت باعث خريد آگاهانه و خوب علاقمندان می شود.
57,1,Sentiment140,به نظرم با بررسي هايي که انجام دادم در اين رنج قيمت بهترين انتخاب است.
58,0,Sentiment140,به نظرم با بررسي هايي که انجام دادم در اين رنج قيمت بدترین انتخاب است.
59,0,Sentiment140,در اين رنج قيمت بدترین انتخاب است.
60,1,Sentiment140,با بررسي هايي که انجام دادم در اين رنج قيمت بهترين انتخاب است.
61,0,Sentiment140,با بررسي هايي که انجام دادم در اين رنج قيمت بدترین انتخاب است.
62,1,Sentiment140,با بررسي هايي که انجام دادم بهترين انتخاب است.
63,0,Sentiment140,با بررسي هايي که انجام دادم بدترین انتخاب است.
64,1,Sentiment140,نيکون انتخاب خوبي است.
65,0,Sentiment140,نيکون انتخاب بدی است.
66,0,Sentiment140,نيکون انتخاب خوبي نیست.
67,1,Sentiment140,کانن انتخاب خوبی است.
68,0,Sentiment140,کانن انتخاب بدی است.
69,0,Sentiment140,کانن انتخاب خوبي نیست.
70,1,Sentiment140,کانن انتخاب خوبی است.
71,1,Sentiment140,سامسونگ در این حدود قیمت انتخاب خوب و عاقلانه ای است.
72,0,Sentiment140,سامسونگ در این حدود قیمت انتخاب احمقانه ای است.
73,1,Sentiment140,کانن در این حدود قیمت انتخاب خوب و عاقلانه ای است.
74,0,Sentiment140,کانن در این حدود قیمت انتخاب احمقانه ای است.
75,0,Sentiment140,این دوربین محدوديت ضبط ويدئو دارد.
76,0,Sentiment140,متاسفانه این دوربین محدوديت ضبط ويدئو دارد.
77,0,Sentiment140,این محصول محدوديت ضبط ويدئو دارد.
78,0,Sentiment140,این دوربین نمی تواند ویدئو ضبط کند.
79,0,Sentiment140,لنز کيت لنز خوبی محسوب نمي شود و بايد لنز حرفه اي تري انتخاب کنيد.
80,0,Sentiment140,لنز کيت لنز خوبی محسوب نمي شود.
81,0,Sentiment140,لنز خوبی محسوب نمي شود.
82,0,Sentiment140,لنز کيت لنز خوبی نیست.
83,0,Sentiment140,لنز ضعیفی محسوب می شود.
84,1,Sentiment140,از سايت خوبتان ممنونم.
85,1,Sentiment140,به نظر من اين دوربين براي کسي که ميخواهد عکاسي را در سطح پيشرفته آغاز کند عالي است.
86,1,Sentiment140,به نظر من اين دوربين براي کسي که ميخواهد عکاسي را در سطح پيشرفته آغاز کند عالي است.
87,0,Sentiment140,به نظر من اين دوربين براي کسي که ميخواهد عکاسي را در سطح پيشرفته آغاز کند ضعیف است.
88,1,Sentiment140,به نظر من اين دوربين در سطح پيشرفته عالي است.
89,0,Sentiment140,به نظر من اين دوربين در سطح پيشرفته ضعیف است.
90,1,Sentiment140,به نظر من اين دوربين براي کسي که مي خواهد عکاسي را به طور پيشرفته آغاز کند عالي است.
91,0,Sentiment140,به نظر من اين دوربين براي کسي که مي خواهد عکاسي را به طور پيشرفته آغاز کند خوب نیست.
92,0,Sentiment140,به نظرم الان با صرفه نيست که این دوربين را بخريم چون تازه وارد بازار شده و قيمتش بالا است.
93,2,Sentiment140,از نظر ظاهری هم بسیار شبیه به دوربین مدل پیشین خود می ‌باشد.
94,2,Sentiment140,بسیار شبیه به دوربین مدل پیشین خود می ‌باشد.
95,2,Sentiment140,شبیه به مدل پیشین خود می ‌باشد.
96,2,Sentiment140,فقط تغییراتی جزئی را مشاهده می کنیم.
97,2,Sentiment140,فقط تغییراتی جزئی را شاهد هستیم.
98,0,Sentiment140,اگر دستان بزرگی داشته باشید این دستگیره به نظرتان خیلی کوچک و ناکارآمد خواهد آمد.
